reschedule_id,disruption_event_id,original_block_id,new_block_id,status,accepted_by
RESCHED_0001,DIS_000001,SLOT_000010,SLOT_000050,RESCHEDULED,
RESCHED_0002,DIS_000002,SLOT_000011,SLOT_000051,RESCHEDULED,
RESCHED_0003,DIS_000003,SLOT_000012,SLOT_000052,RESCHEDULED,
RESCHED_0004,DIS_000004,SLOT_000013,SLOT_000053,RESCHEDULED,
RESCHED_0005,DIS_000005,SLOT_000014,SLOT_000054,RESCHEDULED,
RESCHED_0006,DIS_000006,SLOT_000015,SLOT_000055,RESCHEDULED,
RESCHED_0007,DIS_000007,SLOT_000016,SLOT_000056,RESCHEDULED,
RESCHED_0008,DIS_000008,SLOT_000017,SLOT_000057,RESCHEDULED,
RESCHED_0009,DIS_000009,SLOT_000018,SLOT_000058,RESCHEDULED,
RESCHED_0010,DIS_000010,SLOT_000019,SLOT_000059,RESCHEDULED,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController
